A;180.1207;-199.1101
B;0;244.06
C;172.5884;-199.1101
D;180.1207;-112.622
E;65.8877;201.2122
F;15.7072;258.2393
G;0;157.5719
H;70.4079;244.06
I;70.4079;157.5719
J;239.2221;-82.0606
K;239.2221;-168.5486
L;212.9075;-178.2348
M;168.8142;-82.0606
N;168.8142;-168.5486
O;246.7544;-82.0606
P;246.7544;-168.5486
Q;172.5884;-112.622
R;176.3465;-82.0606
S;176.3465;-168.5486
T;119.2908;201.2122
U;37.6959;229.8806
V;53.4031;157.5719
W;123.811;180.8647
X;123.811;157.5719
Y;15.7072;229.8806
Z;15.7072;143.3925
A1;81.595;187.0328
B1;37.6959;143.3925
C1;103.5836;187.0328
D1;86.1151;171.7513
E1;81.595;215.3916
F1;37.6959;258.2393
G1;15.7072;171.7513
H1;86.1151;258.2393
I1;103.5836;215.3916
J1;53.4031;244.06
K1;37.6959;171.7513
L1;108.1037;171.7513
M1;183.4745;-149.876
N1;253.8823;-149.876
O1;249.3622;-106.2357
P1;227.3736;-106.2357
Q1;183.4745;-63.388
R1;269.5896;-140.7626
S1;269.5896;-164.0554
T1;199.1817;-77.5673
U1;199.1817;-164.0554
V1;216.1865;-77.5673
W1;216.1865;-164.0554
X1;145.7786;-77.5673
Y1;145.7786;-164.0554
Z1;231.8937;-63.388
A2;231.8937;-149.876
B2;211.6663;-120.4151
C2;161.4858;-63.388
D2;161.4858;-149.876
E2;153.9535;-102.2522
F2;153.9535;-188.7402
G2;242.888;-159.0455
H2;238.3679;-115.4052
I2;142.4996;-178.2348
J2;212.9075;-91.7467
K2;161.4858;-102.2522
L2;161.4858;-188.7402
M2;142.4996;-91.7467
N2;249.3622;-134.5945
O2;161.4858;-91.7467
P2;265.0694;-120.4151
Q2;183.4745;-91.7467
R2;183.4745;-178.2348
S2;172.4801;-72.5574
T2;172.4801;-159.0455
U2;242.888;-72.5574
V2;161.4858;-178.2348
W2;227.3736;-134.5945
X2;227.3736;187.0328
Y2;172.4801;249.0699
Z2;161.4858;229.8806
A3;161.4858;143.3925
B3;238.3679;206.2221
C3;153.9535;219.3751
D3;172.4801;162.5818
E3;242.888;249.0699
F3;242.888;162.5818
G3;199.1817;157.5719
H3;269.5896;180.8647
I3;253.8823;171.7513
J3;249.3622;215.3916
K3;199.1817;244.06
L3;183.4745;229.8806
M3;183.4745;143.3925
N3;249.3622;187.0328
O3;269.5896;157.5719
P3;265.0694;201.2122
Q3;176.3465;153.0787
R3;246.7544;239.5667
S3;239.2221;239.5667
T3;239.2221;153.0787
U3;176.3465;239.5667
V3;172.5884;122.5172
W3;180.1207;209.0053
X3;180.1207;122.5172
Y3;246.7544;153.0787
Z3;172.5884;209.0053
A4;161.4858;132.8871
B4;142.4996;229.8806
C4;142.4996;143.3925
D4;153.9535;132.8871
E4;161.4858;219.3751
F4;168.8142;239.5667
G4;168.8142;153.0787
H4;212.9075;229.8806
I4;212.9075;143.3925
J4;67.1289;229.8806
K4;67.1289;143.3925
L4;23.0356;239.5667
M4;-3.279;229.8806
N4;-3.279;143.3925
O4;93.4435;153.0787
P4;30.5679;239.5667
Q4;23.0356;153.0787
R4;93.4435;239.5667
S4;97.1094;249.0699
T4;97.1094;162.5818
U4;26.7015;249.0699
V4;26.7015;162.5818
W4;15.7072;219.3751
X4;15.7072;132.8871
Y4;92.5893;206.2221
Z4;8.1749;219.3751
A3;8.1749;132.8871
B3;161.4858;258.2393
C3;161.4858;171.7513
D3;216.1865;157.5719
E3;211.6663;201.2122
F3;183.4745;258.2393
G3;183.4745;171.7513
H3;231.8937;258.2393
I3;231.8937;171.7513
J3;227.3736;215.3916
K3;26.8098;209.0053
L3;26.8098;122.5172
M3;30.5679;153.0787
N3;100.9758;239.5667
O3;100.9758;153.0787
P3;145.7786;244.06
Q3;145.7786;157.5719
R3;216.1865;244.06
S3;34.3421;209.0053
T3;34.3421;122.5172
U3;34.3421;-35.9297
V3;145.7786;85.6131
W3;26.8098;-35.9297
X3;34.3421;50.5584
Y3;211.6663;42.7653
